time_of_trip,lat,lon
9/5/2014 0:00,40.77766,-73.95732
9/5/2014 0:00,40.7115,-73.94496
9/5/2014 0:00,40.77369,-73.87532
9/5/2014 0:00,40.67803,-73.97806
9/5/2014 0:00,40.72813,-74.0029
9/5/2014 0:00,40.72536,-74.01009
9/5/2014 0:00,40.77982,-73.94844
9/5/2014 0:00,40.72791,-74.00542
9/5/2014 0:00,40.75891,-73.97615
9/5/2014 0:00,40.73121,-73.98265
9/5/2014 0:01,40.77154,-73.95274
9/5/2014 0:01,40.77156,-73.96372
9/5/2014 0:01,40.82412,-73.9451
9/5/2014 0:01,40.71706,-73.99346
9/5/2014 0:01,40.71933,-73.84246
9/5/2014 0:01,40.77825,-73.98845
9/5/2014 0:01,40.69987,-73.99113
9/5/2014 0:02,40.75316,-73.98094
9/5/2014 0:02,40.73768,-74.00652
9/5/2014 0:02,40.71409,-73.95584
9/5/2014 0:02,40.71096,-74.00508
9/5/2014 0:02,40.68653,-73.98244
9/5/2014 0:02,40.75468,-73.99167
9/5/2014 0:02,40.74393,-73.98155
9/5/2014 0:03,40.63132,-73.95258
9/5/2014 0:03,40.76133,-73.9702
9/5/2014 0:03,40.76048,-73.98734
9/5/2014 0:03,40.72367,-74.00363
9/5/2014 0:03,40.75549,-73.98226
9/5/2014 0:03,40.82438,-73.90938
9/5/2014 0:04,40.74451,-73.99062
9/5/2014 0:04,40.7859,-73.97275
9/5/2014 0:04,40.77369,-73.95473
9/5/2014 0:04,40.71893,-74.00123
9/5/2014 0:04,40.72827,-74.00288
9/5/2014 0:04,40.75144,-73.98313
9/5/2014 0:04,40.72311,-73.99922
9/5/2014 0:04,40.73957,-74.00808
9/5/2014 0:04,40.70999,-73.95403
9/5/2014 0:04,40.80557,-73.96583
9/5/2014 0:04,40.72074,-73.95648
9/5/2014 0:05,40.72827,-73.99053
9/5/2014 0:05,40.75123,-73.98122
9/5/2014 0:05,40.71441,-74.00815
9/5/2014 0:05,40.74438,-73.99627
9/5/2014 0:05,40.76117,-73.99805
9/5/2014 0:05,40.7422,-74.0024
9/5/2014 0:05,40.72723,-73.98268
9/5/2014 0:06,40.66684,-73.90809
9/5/2014 0:06,40.76256,-73.96105
9/5/2014 0:06,40.72621,-73.99824
9/5/2014 0:06,40.76232,-73.97453
9/5/2014 0:06,40.74923,-73.98243
9/5/2014 0:06,40.73508,-73.98821
9/5/2014 0:07,40.72178,-73.99593
9/5/2014 0:07,40.7291,-74.00965
9/5/2014 0:07,40.72537,-73.9517
9/5/2014 0:07,40.6245,-74.02817
9/5/2014 0:07,40.68624,-73.95036
9/5/2014 0:07,40.80495,-73.96093
9/5/2014 0:07,40.72373,-74.01131
9/5/2014 0:08,40.67854,-73.98216
9/5/2014 0:08,40.77396,-73.98238
9/5/2014 0:08,40.70639,-74.00569
9/5/2014 0:08,40.76365,-73.99618
9/5/2014 0:08,40.76367,-73.96504
9/5/2014 0:08,40.74556,-73.98154
9/5/2014 0:08,40.74211,-74.00036
9/5/2014 0:08,40.65934,-73.98671
9/5/2014 0:08,40.80878,-73.96322
9/5/2014 0:08,40.70747,-74.00514
9/5/2014 0:09,40.69417,-73.9142
9/5/2014 0:09,40.77115,-73.95062
9/5/2014 0:09,40.76422,-73.97068
9/5/2014 0:09,40.76847,-73.98261
9/5/2014 0:09,40.7626,-73.99706
9/5/2014 0:09,40.85121,-73.92855
9/5/2014 0:10,40.74124,-73.97865
9/5/2014 0:10,40.71948,-74.00183
9/5/2014 0:10,40.77843,-73.96267
9/5/2014 0:10,40.78884,-73.95312
9/5/2014 0:10,40.75003,-74.00258
9/5/2014 0:10,40.75125,-73.98535
9/5/2014 0:10,40.74387,-73.99511
9/5/2014 0:11,40.75569,-73.96852
9/5/2014 0:11,40.68467,-73.97314
9/5/2014 0:11,40.70224,-73.9812
9/5/2014 0:11,40.74981,-73.93899
